vect_label,vect_offs,comment
Illegal_instr,0x00000010,General Illegal instruction int
Slot_illegal,0x00000018,Slot illegal instruction int
CPUaddr_error,0x00000024,CPU addr error
DMACaddr_error,0x00000028,DMAC addr error
NMI,0x0000002C,NMI interrupt
usr_break,0x00000030,UBC User break interrupt
INT_TRAPA32,0x00000080,User TRAPA 32 interrupt
INT_TRAPA33,0x00000084,User TRAPA 33 interrupt
INT_TRAPA34,0x00000088,User TRAPA 34 interrupt
INT_TRAPA35,0x0000008c,User TRAPA 35 interrupt
INT_TRAPA36,0x00000090,User TRAPA 36 interrupt
INT_TRAPA37,0x00000094,User TRAPA 37 interrupt
INT_TRAPA38,0x00000098,User TRAPA 38 interrupt
INT_TRAPA39,0x0000009c,User TRAPA 39 interrupt
INT_TRAPA40,0x000000a0,User TRAPA 40 interrupt
INT_TRAPA41,0x000000a4,User TRAPA 41 interrupt
INT_TRAPA42,0x000000a8,User TRAPA 42 interrupt
INT_TRAPA43,0x000000ac,User TRAPA 43 interrupt
INT_TRAPA44,0x000000b0,User TRAPA 44 interrupt
INT_TRAPA45,0x000000b4,User TRAPA 45 interrupt
INT_TRAPA46,0x000000b8,User TRAPA 46 interrupt
INT_TRAPA47,0x000000bc,User TRAPA 47 interrupt
INT_TRAPA48,0x000000c0,User TRAPA 48 interrupt
INT_TRAPA49,0x000000c4,User TRAPA 49 interrupt
INT_TRAPA50,0x000000c8,User TRAPA 50 interrupt
INT_TRAPA51,0x000000cc,User TRAPA 51 interrupt
INT_TRAPA52,0x000000d0,User TRAPA 52 interrupt
INT_TRAPA53,0x000000d4,User TRAPA 53 interrupt
INT_TRAPA54,0x000000d8,User TRAPA 54 interrupt
INT_TRAPA55,0x000000dc,User TRAPA 55 interrupt
INT_TRAPA56,0x000000e0,User TRAPA 56 interrupt
INT_TRAPA57,0x000000e4,User TRAPA 57 interrupt
INT_TRAPA58,0x000000e8,User TRAPA 58 interrupt
INT_TRAPA59,0x000000ec,User TRAPA 59 interrupt
INT_TRAPA60,0x000000f0,User TRAPA 60 interrupt
INT_TRAPA61,0x000000f4,User TRAPA 61 interrupt
INT_TRAPA62,0x000000f8,User TRAPA 62 interrupt
INT_TRAPA63,0x000000fc,User TRAPA 63 interrupt
INT_IRQ0,0x00000100,IRQ0 interrupt
INT_IRQ1,0x00000104,IRQ1 interrupt
INT_IRQ2,0x00000108,IRQ2 interrupt
INT_IRQ3,0x0000010c,IRQ3 interrupt
INT_IRQ4,0x00000110,IRQ4 interrupt
INT_IRQ5,0x00000114,IRQ5 interrupt
INT_IRQ6,0x00000118,IRQ6 interrupt
INT_IRQ7,0x0000011c,IRQ7 interrupt
INT_DMAC0_DEI0,0x00000120,DMAC0_DEI0 interrupt
INT_DMAC1_DEI1,0x00000128,DMAC1_DEI1 interrupt
INT_DMAC2_DEI2,0x00000130,DMAC2_DEI2 interrupt
INT_DMAC3_DEI3,0x00000138,DMAC3_DEI3 interrupt
INT_ATU01_ITV,0x00000140,ATU01_ITV interrupt
INT_ATU02_ICI0A,0x00000150,ATU02_ICI0A interrupt
INT_ATU02_ICI0B,0x00000154,ATU02_ICI0B interrupt
INT_ATU02_ICI0C,0x00000158,ATU02_ICI0C interrupt
INT_ATU02_ICI0D,0x0000015C,ATU02_ICI0D interrupt
INT_ATU03_OVIO,0x00000160,ATU03_OVIO interrupt
INT_ATU11_IMI1A,0x00000170,ATU11_IMI1A interrupt
INT_ATU11_IMI1B,0x00000174,ATU11_IMI1B interrupt
INT_ATU11_IMI1C,0x00000178,ATU11_IMI1C interrupt
INT_ATU12_IMI1D,0x00000180,ATU12_IMI1D interrupt
INT_ATU12_IMI1E,0x00000184,ATU12_IMI1E interrupt
INT_ATU12_IMI1F,0x00000188,ATU12_IMI1F interrupt
INT_ATU13_OV11,0x00000190,ATU13_OV11 interrupt
INT_ATU2_IMI2A,0x000001A0,ATU2_IMI2A interrupt
INT_ATU2_IMI2B,0x000001A4,ATU2_IMI2B interrupt
INT_ATU2_OV12,0x000001A8,ATU2_OV12 interrupt
INT_ATU31_IMI3A,0x000001B0,ATU31_IMI3A interrupt
INT_ATU31_IMI3B,0x000001B4,ATU31_IMI3B interrupt
INT_ATU31_IMI3C,0x000001B8,ATU31_IMI3C interrupt
INT_ATU31_IMI3D,0x000001BC,ATU31_IMI3D interrupt
INT_ATU32_OV13,0x000001C0,ATU32_OV13 interrupt
INT_ATU41_IMI4A,0x000001D0,ATU41_IMI4A interrupt
INT_ATU41_IMI4B,0x000001D4,ATU41_IMI4B interrupt
INT_ATU41_IMI4C,0x000001D8,ATU41_IMI4C interrupt
INT_ATU41_IMI4D,0x000001DC,ATU41_IMI4D interrupt
INT_ATU42_OV14,0x000001E0,ATU42_OV14 interrupt
INT_ATU5_IMI5A,0x000001F0,ATU5_IMI5A interrupt
INT_ATU5_IMI5B,0x000001F4,ATU5_IMI5B interrupt
INT_ATU5_OV15,0x000001F8,ATU5_OV15 interrupt
INT_ATU6_CMI6,0x00000200,ATU6_CMI6 interrupt
INT_ATU7_CMI7,0x00000204,ATU7_CMI7 interrupt
INT_ATU8_CMI8,0x00000208,ATU8_CMI8 interrupt
INT_ATU9_CMI9,0x0000020C,ATU9_CMI9 interrupt
INT_ATU101_OSI10A,0x00000210,ATU101_OSI10A interrupt
INT_ATU101_OSI10B,0x00000214,ATU101_OSI10B interrupt
INT_ATU101_OSI10C,0x00000218,ATU101_OSI10C interrupt
INT_ATU102_OSI10D,0x00000220,ATU102_OSI10D interrupt
INT_ATU102_OSI10E,0x00000224,ATU102_OSI10E interrupt
INT_ATU102_OSI10F,0x00000228,ATU102_OSI10F interrupt
INT_ATU103_OSI10G,0x00000230,ATU103_OSI10G interrupt
INT_ATU103_OSI10H,0x00000234,ATU103_OSI10H interrupt
INT_CMT0_CMTI0,0x00000240,CMT0_CMTI0 interrupt
INT_ADI0,0x00000244,ADI0 interrupt
INT_CMT1_CMT11,0x00000250,CMT1_CMT11 interrupt
INT_ADI1,0x00000254,ADI1 interrupt
INT_SCI0_ERI0,0x00000260,SCI0_ERI0 interrupt
INT_SCI0_RXI0,0x00000264,SCI0_RXI0 interrupt
INT_SCI0_TXI0,0x00000268,SCI0_TXI0 interrupt
