reg_name,reg_addr
HCAN0_MCR_B,0xFFFFE400
HCAN0_GSR_B,0xFFFFE401
HCAN0_BCR_W,0xFFFFE402
HCAN0_MBCR_W,0xFFFFE404
HCAN0_TXPR_W,0xFFFFE406
HCAN0_TXCR_W,0xFFFFE408
HCAN0_TXACK_W,0xFFFFE40A
HCAN0_ABACK_W,0xFFFFE40C
HCAN0_RXPR_W,0xFFFFE40E
HCAN0_RFPR_W,0xFFFFE410
HCAN0_IRR_W,0xFFFFE412
HCAN0_MBIMR_W,0xFFFFE414
HCAN0_IMR_W,0xFFFFE416
HCAN0_REC_B,0xFFFFE418
HCAN0_TEC_B,0xFFFFE419
HCAN0_UMSR_W,0xFFFFE41A
HCAN0_LAFML_W,0xFFFFE41C
HCAN0_LAFMH_W,0xFFFFE41E
HCAN0_MC0[1]_B,0xFFFFE420
HCAN0_MC0[2]_B,0xFFFFE421
HCAN0_MC0[3]_B,0xFFFFE422
HCAN0_MC0[4]_B,0xFFFFE423
HCAN0_MC0[5]_B,0xFFFFE424
HCAN0_MC0[6]_B,0xFFFFE425
HCAN0_MC0[7]_B,0xFFFFE426
HCAN0_MC0[8]_B,0xFFFFE427
HCAN0_MC1[1]_B,0xFFFFE428
HCAN0_MC1[2]_B,0xFFFFE429
HCAN0_MC1[3]_B,0xFFFFE42A
HCAN0_MC1[4]_B,0xFFFFE42B
HCAN0_MC1[5]_B,0xFFFFE42C
HCAN0_MC1[6]_B,0xFFFFE42D
HCAN0_MC1[7]_B,0xFFFFE42E
HCAN0_MC1[8]_B,0xFFFFE42F
HCAN0_MC2[1]_B,0xFFFFE430
HCAN0_MC2[2]_B,0xFFFFE431
HCAN0_MC2[3]_B,0xFFFFE432
HCAN0_MC2[4]_B,0xFFFFE433
HCAN0_MC2[5]_B,0xFFFFE434
HCAN0_MC2[6]_B,0xFFFFE435
HCAN0_MC2[7]_B,0xFFFFE436
HCAN0_MC2[8]_B,0xFFFFE437
HCAN0_MC3[1]_B,0xFFFFE438
HCAN0_MC3[2]_B,0xFFFFE439
HCAN0_MC3[3]_B,0xFFFFE43A
HCAN0_MC3[4]_B,0xFFFFE43B
HCAN0_MC3[5]_B,0xFFFFE43C
HCAN0_MC3[6]_B,0xFFFFE43D
HCAN0_MC3[7]_B,0xFFFFE43E
HCAN0_MC3[8]_B,0xFFFFE43F
HCAN0_MC4[1]_B,0xFFFFE440
HCAN0_MC4[2]_B,0xFFFFE441
HCAN0_MC4[3]_B,0xFFFFE442
HCAN0_MC4[4]_B,0xFFFFE443
HCAN0_MC4[5]_B,0xFFFFE444
HCAN0_MC4[6]_B,0xFFFFE445
HCAN0_MC4[7]_B,0xFFFFE446
HCAN0_MC4[8]_B,0xFFFFE447
HCAN0_MC5[1]_B,0xFFFFE448
HCAN0_MC5[2]_B,0xFFFFE449
HCAN0_MC5[3]_B,0xFFFFE44A
HCAN0_MC5[4]_B,0xFFFFE44B
HCAN0_MC5[5]_B,0xFFFFE44C
HCAN0_MC5[6]_B,0xFFFFE44D
HCAN0_MC5[7]_B,0xFFFFE44E
HCAN0_MC5[8]_B,0xFFFFE44F
HCAN0_MC6[1]_B,0xFFFFE450
HCAN0_MC6[2]_B,0xFFFFE451
HCAN0_MC6[3]_B,0xFFFFE452
HCAN0_MC6[4]_B,0xFFFFE453
HCAN0_MC6[5]_B,0xFFFFE454
HCAN0_MC6[6]_B,0xFFFFE455
HCAN0_MC6[7]_B,0xFFFFE456
HCAN0_MC6[8]_B,0xFFFFE457
HCAN0_MC7[1]_B,0xFFFFE458
HCAN0_MC7[2]_B,0xFFFFE459
HCAN0_MC7[3]_B,0xFFFFE45A
HCAN0_MC7[4]_B,0xFFFFE45B
HCAN0_MC7[5]_B,0xFFFFE45C
HCAN0_MC7[6]_B,0xFFFFE45D
HCAN0_MC7[7]_B,0xFFFFE45E
HCAN0_MC7[8]_B,0xFFFFE45F
HCAN0_MC8[1]_B,0xFFFFE460
HCAN0_MC8[2]_B,0xFFFFE461
HCAN0_MC8[3]_B,0xFFFFE462
HCAN0_MC8[4]_B,0xFFFFE463
HCAN0_MC8[5]_B,0xFFFFE464
HCAN0_MC8[6]_B,0xFFFFE465
HCAN0_MC8[7]_B,0xFFFFE466
HCAN0_MC8[8]_B,0xFFFFE467
HCAN0_MC9[1]_B,0xFFFFE468
HCAN0_MC9[2]_B,0xFFFFE469
HCAN0_MC9[3]_B,0xFFFFE46A
HCAN0_MC9[4]_B,0xFFFFE46B
HCAN0_MC9[5]_B,0xFFFFE46C
HCAN0_MC9[6]_B,0xFFFFE46D
HCAN0_MC9[7]_B,0xFFFFE46E
HCAN0_MC9[8]_B,0xFFFFE46F
HCAN0_MC10[1]_B,0xFFFFE470
HCAN0_MC10[2]_B,0xFFFFE471
HCAN0_MC10[3]_B,0xFFFFE472
HCAN0_MC10[4]_B,0xFFFFE473
HCAN0_MC10[5]_B,0xFFFFE474
HCAN0_MC10[6]_B,0xFFFFE475
HCAN0_MC10[7]_B,0xFFFFE476
HCAN0_MC10[8]_B,0xFFFFE477
HCAN0_MC11[1]_B,0xFFFFE478
HCAN0_MC11[2]_B,0xFFFFE479
HCAN0_MC11[3]_B,0xFFFFE47A
HCAN0_MC11[4]_B,0xFFFFE47B
HCAN0_MC11[5]_B,0xFFFFE47C
HCAN0_MC11[6]_B,0xFFFFE47D
HCAN0_MC11[7]_B,0xFFFFE47E
HCAN0_MC11[8]_B,0xFFFFE47F
HCAN0_MC12[1]_B,0xFFFFE480
HCAN0_MC12[2]_B,0xFFFFE481
HCAN0_MC12[3]_B,0xFFFFE482
HCAN0_MC12[4]_B,0xFFFFE483
HCAN0_MC12[5]_B,0xFFFFE484
HCAN0_MC12[6]_B,0xFFFFE485
HCAN0_MC12[7]_B,0xFFFFE486
HCAN0_MC12[8]_B,0xFFFFE487
HCAN0_MC13[1]_B,0xFFFFE488
HCAN0_MC13[2]_B,0xFFFFE489
HCAN0_MC13[3]_B,0xFFFFE48A
HCAN0_MC13[4]_B,0xFFFFE48B
HCAN0_MC13[5]_B,0xFFFFE48C
HCAN0_MC13[6]_B,0xFFFFE48D
HCAN0_MC13[7]_B,0xFFFFE48E
HCAN0_MC13[8]_B,0xFFFFE48F
HCAN0_MC14[1]_B,0xFFFFE490
